name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.chart.purple.boldest.hovered,color; chart; purple; boldest; hovered,--ds-chart-purple-boldest-hovered,#48245D,Hovered state of color.chart.purple.boldest.,#48245D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.bold,color; chart; magenta; bold; [default],--ds-chart-magenta-bold,#DA62AC,For data visualisation only.,#DA62AC,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.bold.hovered,color; chart; magenta; bold; hovered,--ds-chart-magenta-bold-hovered,#CD519D,Hovered state of color.chart.magenta.bold.,#CD519D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.bolder,color; chart; magenta; bolder; [default],--ds-chart-magenta-bolder,#CD519D,For data visualisation only.,#CD519D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.bolder.hovered,color; chart; magenta; bolder; hovered,--ds-chart-magenta-bolder-hovered,#AE4787,Hovered state of color.chart.magenta.bolder.,#AE4787,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.boldest,color; chart; magenta; boldest; [default],--ds-chart-magenta-boldest,#943D73,For data visualisation only.,#943D73,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.magenta.boldest.hovered,color; chart; magenta; boldest; hovered,--ds-chart-magenta-boldest-hovered,#50253F,Hovered state of color.chart.magenta.boldest.,#50253F,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.bold,color; chart; gray; bold; [default],--ds-chart-gray-bold,#8C8F97,For data visualisation only.,#8C8F97,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.bold.hovered,color; chart; gray; bold; hovered,--ds-chart-gray-bold-hovered,#7D818A,Hovered state of color.chart.gray.bold.,#7D818A,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.bolder,color; chart; gray; bolder; [default],--ds-chart-gray-bolder,#7D818A,For data visualisation only.,#7D818A,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.bolder.hovered,color; chart; gray; bolder; hovered,--ds-chart-gray-bolder-hovered,#6B6E76,Hovered state of color.chart.gray.bolder.,#6B6E76,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.boldest,color; chart; gray; boldest; [default],--ds-chart-gray-boldest,#505258,For data visualisation only.,#505258,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.gray.boldest.hovered,color; chart; gray; boldest; hovered,--ds-chart-gray-boldest-hovered,#3B3D42,Hovered state of color.chart.gray.boldest.,#3B3D42,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.brand,color; chart; brand; [default],--ds-chart-brand,#357DE8,Our primary color for data visualisation. Use when only one color is required.,#357DE8,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.brand.hovered,color; chart; brand; hovered,--ds-chart-brand-hovered,#1868DB,Hovered state of color.chart.brand.,#1868DB,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.danger,color; chart; danger; [default]; [default],--ds-chart-danger,#E2483D,"For data visualisation communicating negative information, such as 'off track'.",#E2483D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.danger.hovered,color; chart; danger; [default]; hovered,--ds-chart-danger-hovered,#C9372C,Hovered state of color.chart.danger.,#C9372C,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.danger.bold,color; chart; danger; bold; [default],--ds-chart-danger-bold,#872821,A stronger emphasis option of color.chart.danger.,#872821,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.danger.bold.hovered,color; chart; danger; bold; hovered,--ds-chart-danger-bold-hovered,#5D1F1A,Hovered state of color.chart.danger.bold.,#5D1F1A,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.warning,color; chart; warning; [default]; [default],--ds-chart-warning,#F68909,"For data visualisation communicating caution, such as 'at risk' statuses.",#F68909,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.warning.hovered,color; chart; warning; [default]; hovered,--ds-chart-warning-hovered,#E06C00,Hovered state of color.chart.warning.,#E06C00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.warning.bold,color; chart; warning; bold; [default],--ds-chart-warning-bold,#BD5B00,A stronger emphasis option of color.chart.warning.,#BD5B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.warning.bold.hovered,color; chart; warning; bold; hovered,--ds-chart-warning-bold-hovered,#9E4C00,Hovered state of color.chart.warning.bold.,#9E4C00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.success,color; chart; success; [default]; [default],--ds-chart-success,#82B536,"For data visualisation communicating positive information, such as 'on track'.",#82B536,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.success.hovered,color; chart; success; [default]; hovered,--ds-chart-success-hovered,#6A9A23,Hovered state of color.chart.success.,#6A9A23,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.success.bold,color; chart; success; bold; [default],--ds-chart-success-bold,#5B7F24,A stronger emphasis option of color.chart.success.,#5B7F24,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.success.bold.hovered,color; chart; success; bold; hovered,--ds-chart-success-bold-hovered,#4C6B1F,Hovered state of color.chart.success.bold.,#4C6B1F,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.discovery,color; chart; discovery; [default]; [default],--ds-chart-discovery,#BF63F3,For data visualisation communicating 'new' statuses.,#BF63F3,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.discovery.hovered,color; chart; discovery; [default]; hovered,--ds-chart-discovery-hovered,#AF59E1,Hovered state of color.chart.discovery.,#AF59E1,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.discovery.bold,color; chart; discovery; bold; [default],--ds-chart-discovery-bold,#803FA5,A stronger emphasis option of color.chart.discovery.,#803FA5,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.discovery.bold.hovered,color; chart; discovery; bold; hovered,--ds-chart-discovery-bold-hovered,#964AC0,Hovered state of color.chart.discovery.bold.,#964AC0,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.information,color; chart; information; [default]; [default],--ds-chart-information,#357DE8,For data visualisation communicating low priority or in-progress statuses.,#357DE8,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.information.hovered,color; chart; information; [default]; hovered,--ds-chart-information-hovered,#1868DB,Hovered state of color.chart.information.,#1868DB,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.information.bold,color; chart; information; bold; [default],--ds-chart-information-bold,#1558BC,A stronger emphasis option of color.chart.information.,#1558BC,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.information.bold.hovered,color; chart; information; bold; hovered,--ds-chart-information-bold-hovered,#123263,Hovered state of color.chart.information.bold.,#123263,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.rovo.background.brand.bold,color; rovo; background; brand; bold; [default],--ds-rovo-background-brand-bold,#000000,Background color for Rovo brand emphasis.,#000000,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.rovo.background.brand.bold.hovered,color; rovo; background; brand; bold; hovered,--ds-rovo-background-brand-bold-hovered,#1E1F21,Hovered state of color.rovo.background.brand.bold.,#1E1F21,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.rovo.background.brand.bold.pressed,color; rovo; background; brand; bold; pressed,--ds-rovo-background-brand-bold-pressed,#292A2E,Pressed state of color.rovo.background.brand.bold.,#292A2E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.rovo.border.lime,color; rovo; border; lime,--ds-rovo-border-lime,#6A9A23,Use for Rovo lime borders.,#6A9A23,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.rovo.border.saffron,color; rovo; border; saffron,--ds-rovo-border-saffron,#FCA700,Use for Rovo saffron borders.,#FCA700,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.rovo.border.blue,color; rovo; border; blue,--ds-rovo-border-blue,#1868DB,Use for Rovo blue borders.,#1868DB,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.rovo.border.purple,color; rovo; border; purple,--ds-rovo-border-purple,#AF59E1,Use for Rovo purple borders.,#AF59E1,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.rovo.icon.lime,color; rovo; icon; lime,--ds-rovo-icon-lime,#6A9A23,Use for Rovo lime icons.,#6A9A23,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.rovo.icon.saffron,color; rovo; icon; saffron,--ds-rovo-icon-saffron,#FCA700,Use for Rovo saffron icons.,#FCA700,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.rovo.icon.blue,color; rovo; icon; blue,--ds-rovo-icon-blue,#1868DB,Use for Rovo blue icons.,#1868DB,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.rovo.icon.purple,color; rovo; icon; purple,--ds-rovo-icon-purple,#AF59E1,Use for Rovo purple icons.,#AF59E1,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
elevation.surface,elevation; surface; [default]; [default],--ds-surface,#FFFFFF,Use as the primary background for the UI.,#FFFFFF,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.hovered,elevation; surface; [default]; hovered,--ds-surface-hovered,#F0F1F2,Hovered state of elevation.surface,#F0F1F2,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.pressed,elevation; surface; [default]; pressed,--ds-surface-pressed,#DDDEE1,Pressed state of elevation.surface,#DDDEE1,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.container,elevation; surface; container; [default],--ds-surface-container,#17171708,Use as a neutral container surface background.,#17171708,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.container.hovered,elevation; surface; container; hovered,--ds-surface-container-hovered,#0515240F,Hovered state of elevation.surface.container,#0515240F,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.container.pressed,elevation; surface; container; pressed,--ds-surface-container-pressed,#0B120E24,Pressed state of elevation.surface.container,#0B120E24,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.overlay,elevation; surface; overlay; [default],--ds-surface-overlay,#FFFFFF,"Use for the background of elements that sit on top of they UI, such as modals, dialogs, dropdown menus, floating toolbars, and floating single-action buttons. Also use for the background of raised cards in a dragged state. Combine with elevation.shadow.overlay.",#FFFFFF,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.overlay.hovered,elevation; surface; overlay; hovered,--ds-surface-overlay-hovered,#F0F1F2,Hovered state of elevation.surface.overlay,#F0F1F2,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.overlay.pressed,elevation; surface; overlay; pressed,--ds-surface-overlay-pressed,#DDDEE1,Pressed state of elevation.surface.overlay,#DDDEE1,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.raised,elevation; surface; raised; [default],--ds-surface-raised,#FFFFFF,"Use for the background of cards that can be moved, such as Jira cards on a Kanban board. Combine with elevation.shadow.raised.",#FFFFFF,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.raised.hovered,elevation; surface; raised; hovered,--ds-surface-raised-hovered,#F0F1F2,Hovered state of elevation.surface.raised,#F0F1F2,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.raised.pressed,elevation; surface; raised; pressed,--ds-surface-raised-pressed,#DDDEE1,Pressed state of elevation.surface.raised,#DDDEE1,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.surface.sunken,elevation; surface; sunken,--ds-surface-sunken,#F8F8F8,"A secondary background for the UI commonly used for grouping items, such as Jira cards in columns.",#F8F8F8,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.rovo.surface.overlay,elevation; rovo; surface; overlay; [default],--ds-rovo-surface-overlay,#F8F8F8,Use for Rovo overlay surface backgrounds.,#F8F8F8,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.rovo.surface.overlay.hovered,elevation; rovo; surface; overlay; hovered,--ds-rovo-surface-overlay-hovered,#F0F1F2,Hovered state of elevation.rovo.surface.overlay.,#F0F1F2,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.rovo.surface.overlay.pressed,elevation; rovo; surface; overlay; pressed,--ds-rovo-surface-overlay-pressed,#DDDEE1,Pressed state of elevation.rovo.surface.overlay.,#DDDEE1,The base color for app and component surfaces. Raised and overlay surfaces should be used in concert with shadows (e.g. elevation.surface.raised should be used with elevation.shadow.raised),background-color,token-metadata.codegen.js
elevation.shadow.overflow,elevation; shadow; overflow; [default],--ds-shadow-overflow,"0px 0px 8px #1E1F2129, 0px 0px 1px #1E1F211F",Use to create a shadow when content scrolls under other content.,"0px 0px 8px #1E1F2129, 0px 0px 1px #1E1F211F","Shadows for showing depth and elevation (e.g. elevation.shadow.raised, elevation.shadow.overlay). Use via the box-shadow property to indicate layer hierarchy",box-shadow,token-metadata.codegen.js
elevation.shadow.overflow.perimeter,elevation; shadow; overflow; perimeter,--ds-shadow-overflow-perimeter,#1E1F211f,Use only when elevation.shadow.overflow is not technically feasible to implement. Pair with elevation.shadow.overflow.spread to replicate the overflow shadow.,#1E1F211f,"Shadows for showing depth and elevation (e.g. elevation.shadow.raised, elevation.shadow.overlay). Use via the box-shadow property to indicate layer hierarchy",box-shadow,token-metadata.codegen.js
elevation.shadow.overflow.spread,elevation; shadow; overflow; spread,--ds-shadow-overflow-spread,#1E1F2129,Use only when elevation.shadow.overflow is not technically feasible to implement. Pair with elevation.shadow.overflow.perimeter to replicate the overflow shadow.,#1E1F2129,"Shadows for showing depth and elevation (e.g. elevation.shadow.raised, elevation.shadow.overlay). Use via the box-shadow property to indicate layer hierarchy",box-shadow,token-metadata.codegen.js
elevation.shadow.overlay,elevation; shadow; overlay,--ds-shadow-overlay,"0px 8px 12px #1E1F2126, 0px 0px 1px #1E1F214F","Use for the box shadow of elements that sit on top of the UI, such as modals, dropdown menus, flags, and inline dialogs. Combine with elevation.surface.overlay

Also use for the box shadow of raised cards in a dragged state.","0px 8px 12px #1E1F2126, 0px 0px 1px #1E1F214F","Shadows for showing depth and elevation (e.g. elevation.shadow.raised, elevation.shadow.overlay). Use via the box-shadow property to indicate layer hierarchy",box-shadow,token-metadata.codegen.js
elevation.shadow.raised,elevation; shadow; raised,--ds-shadow-raised,"0px 1px 1px #1E1F2140, 0px 0px 1px #1E1F214F","Use for the box shadow of raised card elements, such as Jira cards on a Kanban board. Combine with elevation.surface.raised","0px 1px 1px #1E1F2140, 0px 0px 1px #1E1F214F","Shadows for showing depth and elevation (e.g. elevation.shadow.raised, elevation.shadow.overlay). Use via the box-shadow property to indicate layer hierarchy",box-shadow,token-metadata.codegen.js
opacity.disabled,opacity; disabled,--ds-opacity-disabled,0.4,Apply to images when in a disabled state.,0.4,"Controls the transparency of an element (e.g. opacity.disabled, opacity.loading). Used for communication of loading and disabled states",opacity,token-metadata.codegen.js
opacity.loading,opacity; loading,--ds-opacity-loading,0.2,Apply to content that sits under a loading spinner.,0.2,"Controls the transparency of an element (e.g. opacity.disabled, opacity.loading). Used for communication of loading and disabled states",opacity,token-metadata.codegen.js
utility.UNSAFE.transparent,utility; UNSAFE; transparent,--ds-UNSAFE-transparent,transparent,Transparent token used for backwards compatibility between new and old theming solutions,transparent,Code-specific tokens to aid with migration or enable features such as automatic elevation detection,,token-metadata.codegen.js
utility.elevation.surface.current,utility; elevation; surface; current,--ds-elevation-surface-current,#FFFFFF,A dynamic token that represents the current surface color set by a parent element. It defaults to the 'elevation.surface' token value.,#FFFFFF,Code-specific tokens to aid with migration or enable features such as automatic elevation detection,,token-metadata.codegen.js
space.0,space; 0,--ds-space-0,0rem,Equates to `0`. Use for resetting default spacing styles.,0rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.025,space; 025,--ds-space-025,0.125rem,Use for small and compact pieces of UI.,0.125rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.050,space; 050,--ds-space-050,0.25rem,Use for small and compact pieces of UI.,0.25rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.075,space; 075,--ds-space-075,0.375rem,Use for small and compact pieces of UI.,0.375rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.100,space; 100,--ds-space-100,0.5rem,Use for small and compact pieces of UI.,0.5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.150,space; 150,--ds-space-150,0.75rem,Use for larger and less dense pieces of UI.,0.75rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.200,space; 200,--ds-space-200,1rem,Use for larger and less dense pieces of UI.,1rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.250,space; 250,--ds-space-250,1.25rem,Use for larger and less dense pieces of UI.,1.25rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.300,space; 300,--ds-space-300,1.5rem,Use for larger and less dense pieces of UI.,1.5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.400,space; 400,--ds-space-400,2rem,Use for the largest pieces of UI and for layout elements.,2rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.500,space; 500,--ds-space-500,2.5rem,Use for the largest pieces of UI and for layout elements.,2.5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.600,space; 600,--ds-space-600,3rem,Use for the largest pieces of UI and for layout elements.,3rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.800,space; 800,--ds-space-800,4rem,Use for the largest pieces of UI and for layout elements.,4rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.1000,space; 1000,--ds-space-1000,5rem,Use for the largest pieces of UI and for layout elements.,5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.025,space; negative; 025,--ds-space-negative-025,-0.125rem,Use to negate parent whitespace or overlap small pieces of UI.,-0.125rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.050,space; negative; 050,--ds-space-negative-050,-0.25rem,Use to negate parent whitespace or overlap small pieces of UI.,-0.25rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.075,space; negative; 075,--ds-space-negative-075,-0.375rem,Use to negate parent whitespace or overlap small pieces of UI.,-0.375rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.100,space; negative; 100,--ds-space-negative-100,-0.5rem,Use to negate parent whitespace or overlap small pieces of UI.,-0.5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.150,space; negative; 150,--ds-space-negative-150,-0.75rem,Use to negate parent whitespace or overlap larger pieces of UI.,-0.75rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.200,space; negative; 200,--ds-space-negative-200,-1rem,Use to negate parent whitespace or overlap larger pieces of UI.,-1rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.250,space; negative; 250,--ds-space-negative-250,-1.25rem,Use to negate parent whitespace or overlap larger pieces of UI.,-1.25rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.300,space; negative; 300,--ds-space-negative-300,-1.5rem,Use to negate parent whitespace or overlap larger pieces of UI.,-1.5rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
space.negative.400,space; negative; 400,--ds-space-negative-400,-2rem,Use to negate parent whitespace or overlap the largest pieces of UI.,-2rem,"Spacing tokens define the distance, alignment, and layout positioning (e.g. space.100, space.200, space.050). Use for margin, padding, gap, and layout positioning such as top, left, etc",padding; margin; gap; top; left; right; bottom; inset,token-metadata.codegen.js
font.heading.xxlarge,font; heading; xxlarge,--ds-font-heading-xxlarge,"normal 653 2rem/2.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","For overlapping brand with app promotions, such as marketplace content. Migrate instances of H900 to Heading XXL.","normal 653 2rem/2.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.heading.xlarge,font; heading; xlarge,--ds-font-heading-xlarge,"normal 653 1.75rem/2rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","For overlapping brand with app promotions, such as marketplace content. Migrate instances of H800 to Heading XL.","normal 653 1.75rem/2rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
